Record,ID,Year,Latitude,Longitude,Location,Site,Zone,Level,Transect,Class,Order,Family,Genus,GenusSpecies,TotalLength,Abundance,KelpAbundance,KelpDensity,aTL2TW,bTL2TW,TrophicLevel,Lm,Lmax,BodyShape,DemersPelag,PriceCateg,UsedasBait,Aquarium,Importance,Comments
488,2013-ICO-S-Bottom-0,2013,32.361993,-117.230786,ICO,S,NA,Bottom,0,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes caurinus,NA,1,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,demersal,medium,never/rarely,public aquariums,minor commercial,"Particularly abundant in shallow, protected bays and inlets, among rocks and kelp beds; also found around pilings and jetties or under floats (Ref. 27436).  Juveniles found in loose aggregations in shallow weedy bays, around wharfs, or among floating drift associated with summer tidelines (Ref. 27436).  Mainly a benthic feeder, may also take pelagic fishes (Ref. 27436).  Viviparous, with planktonic larvae (Ref. 36715).  Flesh is tasty, firm and flaky (Ref. 27436).  Sold mainly as fresh fillets or live in Chinese restaurants and fish markets; excellent for fish chips or for pan frying as fillets (Ref. 27436)."
489,2013-ICO-S-Bottom-0,2013,32.361993,-117.230786,ICO,S,NA,Bottom,0,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes serriceps,NA,1,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,demersal,medium,never/rarely,never/rarely,NA,"Occur in rocky areas, usually in crevices (Ref. 2850).  Territorial (Ref. 2850).  Viviparous (Ref. 34817)."
490,2013-ICO-S-Midwater-0,2013,32.361993,-117.230786,ICO,S,NA,Midwater,0,Actinopterygii,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus analis,NA,1,NA,NA,NA,NA,NA,NA,NA,elongated,demersal,low,never/rarely,never/rarely,NA,A resident intertidal species with homing behavior (Ref. 32612).  Often among intertidal algae.  May leave tide pools if aquatic conditions become inhospitable (Ref. 31184).  Breathes air when out of water (Ref. 31184).
491,2013-ICO-S-Midwater-0,2013,32.361993,-117.230786,ICO,S,NA,Midwater,0,Actinopterygii,Perciformes,Scombridae,Scomber,Scomber japonicus,NA,1,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,pelagic-neritic,high,usually,never/rarely,highly commercial,"A coastal pelagic species, to a lesser extent epipelagic to mesopelagic over the continental slope (Ref. 168).  Schooling by size is well developed and initiates at approximately 3 cm (Ref. 168); may also form schools with <i>Sarda chiliensis</i>, <i>Trachurus symmetricus</i> and <i>Sardinops sagax</i> (Ref. 9340).  Adults stay near the bottom during the day; go up to the open water at night,  (Ref. 5377) where they feed on copepods and other crustaceans, fishes and squids (Ref. 168).  They spawn in batches (Ref. 51846).  Eggs and larvae are pelagic (Ref. 6769).  In Asian waters, they move to deeper water and remain inactive during the winter season (Ref. 4576).  Commercially cultured in Japan.  Marketed fresh, frozen, smoked, salted and occasionally canned (Ref. 9684).  Eaten fried, broiled and baked (Ref. 9988).  Used in Chinese medicine (Ref. 12166)."
492,2013-ICO-S-Midwater-0,2013,32.361993,-117.230786,ICO,S,NA,Midwater,0,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes atrovirens,NA,1,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,demersal,medium,never/rarely,never/rarely,NA,"Usually found on or near bottom in kelp beds or rocky areas (Ref. 2850).  Viviparous, with planktonic larvae (Ref. 36715)."
493,2013-ICO-S-Midwater-0,2013,32.361993,-117.230786,ICO,S,NA,Midwater,0,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes caurinus,NA,1,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,demersal,medium,never/rarely,public aquariums,minor commercial,"Particularly abundant in shallow, protected bays and inlets, among rocks and kelp beds; also found around pilings and jetties or under floats (Ref. 27436).  Juveniles found in loose aggregations in shallow weedy bays, around wharfs, or among floating drift associated with summer tidelines (Ref. 27436).  Mainly a benthic feeder, may also take pelagic fishes (Ref. 27436).  Viviparous, with planktonic larvae (Ref. 36715).  Flesh is tasty, firm and flaky (Ref. 27436).  Sold mainly as fresh fillets or live in Chinese restaurants and fish markets; excellent for fish chips or for pan frying as fillets (Ref. 27436)."
494,2013-ICO-S-Midwater-0,2013,32.361993,-117.230786,ICO,S,NA,Midwater,0,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes dallii,NA,1,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,demersal,medium,never/rarely,never/rarely,NA,"Adults occur on or near soft bottom (Ref. 2850).  Viviparous, with planktonic larvae and pelagic juveniles (Ref. 36715)."
495,2013-ICO-S-Midwater-0,2013,32.361993,-117.230786,ICO,S,NA,Midwater,0,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes serriceps,NA,1,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,demersal,medium,never/rarely,never/rarely,NA,"Occur in rocky areas, usually in crevices (Ref. 2850).  Territorial (Ref. 2850).  Viviparous (Ref. 34817)."
496,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Perciformes,Malacanthidae,Caulolatilus,Caulolatilus princeps,65,2,31,0.516666667,0.0239,3,NA,NA,102,elongated,reef-associated,low,never/rarely,never/rarely,commercial,Inhabits rocky bottoms (Ref. 9119).  Also found on soft sand and mud bottoms.  Solitary species.  Digs into the substrate for food (Ref. 5227).
497,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis punctipinnis,10,15,31,0.516666667,0.01479,2.99,2.7,NA,NA,fusiform / normal,reef-associated,unknown,never/rarely,NA,minor commercial,"Adults occur near bottom over or near rocks, especially over steep banks, and also in kelp beds.  Young school in open ocean.  They retire to rocky holes at night (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Good eating."
498,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Perciformes,Pomacentridae,Hypsypops,Hypsypops rubicundus,30,1,31,0.516666667,0.020213841,3.0895,3.2,NA,NA,short and / or deep,reef-associated,unknown,never/rarely,never/rarely,NA,"Adults occur over rocky bottom in clear water, often near crevices and small caves, occasionally in kelp.  Adults defend a home territory.  Feed mainly on attached invertebrates.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Have been reared in captivity (Ref. 35420)."
499,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Perciformes,Labridae,Oxyjulis,Oxyjulis californica,10,3,31,0.516666667,0.00447,3.14,3.1,NA,25,elongated,demersal,very high,never/rarely,commercial,NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
500,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Perciformes,Serranidae,Paralabrax,Paralabrax clathratus,25,1,31,0.516666667,0.00273,3.27,3.93,NA,72,fusiform / normal,benthopelagic,very high,NA,NA,commercial,"Usually found in or near kelp beds, shallow water and to about 50 m but mostly from 2.4-21m .  Found throughout water column.  Large specimens usually occur in deeper water.  Juveniles feed on benthic invertebrates (especially crustaceans); adults feed on fishes and cephalopods (Ref.9342).  Both juveniles and adults may feed on plankton when abundant (Ref.9342).  Pelagic spawners (Ref. 56049).  Also caught with troll lines (Ref. 9342).  Excellent food fish and an important game fish (Ref. 9342)."
501,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Perciformes,Embiotocidae,Rhacochilus,Rhacochilus toxotes,40,1,31,0.516666667,NA,NA,NA,NA,NA,short and / or deep,demersal,unknown,never/rarely,never/rarely,commercial,"Adults usually found in rocky areas, also in kelp and near jetties and pilings (Ref. 2850). From Surf zone to 50 m (Ref. 96339). Often in schools (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205)."
502,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes atrovirens,15,1,31,0.516666667,NA,NA,NA,NA,NA,fusiform / normal,demersal,medium,never/rarely,never/rarely,NA,"Usually found on or near bottom in kelp beds or rocky areas (Ref. 2850).  Viviparous, with planktonic larvae (Ref. 36715)."
503,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes atrovirens,25,2,31,0.516666667,NA,NA,NA,NA,NA,fusiform / normal,demersal,medium,never/rarely,never/rarely,NA,"Usually found on or near bottom in kelp beds or rocky areas (Ref. 2850).  Viviparous, with planktonic larvae (Ref. 36715)."
504,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes atrovirens,40,1,31,0.516666667,NA,NA,NA,NA,NA,fusiform / normal,demersal,medium,never/rarely,never/rarely,NA,"Usually found on or near bottom in kelp beds or rocky areas (Ref. 2850).  Viviparous, with planktonic larvae (Ref. 36715)."
505,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes auriculatus,25,1,31,0.516666667,0.01,3.07,NA,31,56,fusiform / normal,demersal,medium,occasionally,public aquariums,minor commercial,"A sedentary rockfish found in shallow water and bays (Ref. 2850), among sheltering weed-covered rocks or around pilings (Ref. 27436).  Viviparous, with planktonic larvae and pelagic juveniles (Ref. 36715).  Fin spines are sharp and mildly venomous and can cause annoying wounds (Ref. 27436).  Small live specimens make excellent bait for large lingcod (Ref. 27436).  Flesh is firm and tasty, but rarely found in markets (Ref. 26346)."
506,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Perciformes,Labridae,Semicossyphus,Semicossyphus pulcher,10,3,31,0.516666667,0.0289,3,NA,NA,91,fusiform / normal,reef-associated,very high,never/rarely,commercial,commercial,"Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
506,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Perciformes,Labridae,Semicossyphus,Semicossyphus pulcher,10,3,31,0.516666667,0.0289,3,3.6,NA,91,fusiform / normal,reef-associated,very high,never/rarely,commercial,commercial,"Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
507,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Perciformes,Labridae,Semicossyphus,Semicossyphus pulcher,35,1,31,0.516666667,0.0289,3,NA,NA,91,fusiform / normal,reef-associated,very high,never/rarely,commercial,commercial,"Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
507,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Perciformes,Labridae,Semicossyphus,Semicossyphus pulcher,35,1,31,0.516666667,0.0289,3,3.6,NA,91,fusiform / normal,reef-associated,very high,never/rarely,commercial,commercial,"Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
508,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Perciformes,Labridae,Semicossyphus,Semicossyphus pulcher,40,2,31,0.516666667,0.0289,3,NA,NA,91,fusiform / normal,reef-associated,very high,never/rarely,commercial,commercial,"Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
508,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Perciformes,Labridae,Semicossyphus,Semicossyphus pulcher,40,2,31,0.516666667,0.0289,3,3.6,NA,91,fusiform / normal,reef-associated,very high,never/rarely,commercial,commercial,"Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
509,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Perciformes,Labridae,Semicossyphus,Semicossyphus pulcher,50,1,31,0.516666667,0.0289,3,NA,NA,91,fusiform / normal,reef-associated,very high,never/rarely,commercial,commercial,"Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
509,2013-ISJE-N-Bottom-1,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,1,Actinopterygii,Perciformes,Labridae,Semicossyphus,Semicossyphus pulcher,50,1,31,0.516666667,0.0289,3,3.6,NA,91,fusiform / normal,reef-associated,very high,never/rarely,commercial,commercial,"Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
510,2013-ISJE-N-Bottom-2,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,2,Actinopterygii,Perciformes,Labrisomidae,Alloclinus,Alloclinus holderi,5,1,31,0.516666667,NA,NA,NA,NA,NA,elongated,demersal,unknown,never/rarely,never/rarely,NA,"Inhabits rocky areas, subtidal and to 49 m depth (Ref. 2850)."
511,2013-ISJE-N-Bottom-2,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,2,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis punctipinnis,5,250,31,0.516666667,0.01479,2.99,2.7,NA,NA,fusiform / normal,reef-associated,unknown,never/rarely,NA,minor commercial,"Adults occur near bottom over or near rocks, especially over steep banks, and also in kelp beds.  Young school in open ocean.  They retire to rocky holes at night (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Good eating."
512,2013-ISJE-N-Bottom-2,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,2,Actinopterygii,Perciformes,Labridae,Oxyjulis,Oxyjulis californica,5,206,31,0.516666667,0.00447,3.14,3.1,NA,25,elongated,demersal,very high,never/rarely,commercial,NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
513,2013-ISJE-N-Bottom-2,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,2,Actinopterygii,Perciformes,Labridae,Oxyjulis,Oxyjulis californica,10,4,31,0.516666667,0.00447,3.14,3.1,NA,25,elongated,demersal,very high,never/rarely,commercial,NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
514,2013-ISJE-N-Bottom-3,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,3,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis punctipinnis,10,20,22,0.366666667,0.01479,2.99,2.7,NA,NA,fusiform / normal,reef-associated,unknown,never/rarely,NA,minor commercial,"Adults occur near bottom over or near rocks, especially over steep banks, and also in kelp beds.  Young school in open ocean.  They retire to rocky holes at night (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Good eating."
515,2013-ISJE-N-Bottom-3,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,3,Actinopterygii,Perciformes,Kyphosidae,Girella,Girella nigricans,35,12,22,0.366666667,0.0155,3.03,2.8,NA,66,short and / or deep,benthopelagic,medium,never/rarely,never/rarely,commercial,"A resident intertidal species with homing behavior (Ref. 32612).  Can leave tide pools if aquatic conditions become inhospitable (Ref. 31184).  Also found near or over rocks and in kelp beds up to about 30 m depth.  Feed mainly on seaweed, occasionally takes invertebrates.  Form dense schools in spring in kelp beds.  Pelagic spawner (Ref. 56049).  Breathe air when out of water (Ref. 31184).  Considered an important game fish and may incidentally be caught in commercial fishing activities (Ref. 9310).  Marketed fresh (Ref. 9310)."
516,2013-ISJE-N-Bottom-3,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,3,Actinopterygii,Perciformes,Pomacentridae,Hypsypops,Hypsypops rubicundus,30,1,22,0.366666667,0.020213841,3.0895,3.2,NA,NA,short and / or deep,reef-associated,unknown,never/rarely,never/rarely,NA,"Adults occur over rocky bottom in clear water, often near crevices and small caves, occasionally in kelp.  Adults defend a home territory.  Feed mainly on attached invertebrates.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Have been reared in captivity (Ref. 35420)."
517,2013-ISJE-N-Bottom-3,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,3,Actinopterygii,Perciformes,Labridae,Oxyjulis,Oxyjulis californica,15,15,22,0.366666667,0.00447,3.14,3.1,NA,25,elongated,demersal,very high,never/rarely,commercial,NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
518,2013-ISJE-N-Bottom-3,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,3,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,Oxylebius pictus,15,1,22,0.366666667,NA,NA,NA,NA,NA,fusiform / normal,demersal,unknown,never/rarely,never/rarely,NA,"Found in rocky areas, from the intertidal to 49 m (Ref. 2850).  Sleeps on the oral disc, leaving the anemone (<i>Urticina lofotensis</i>) by day but returning every night (Ref. 45560).  Commonly encountered hovering motionless by divers (Ref. 2850).  Feeds on crustaceans, polychaetes, small mollusks and bryozoans (Ref. 4930).  Neither anterolateral glandular grooves nor venom gland is present (Ref. 57406)."
519,2013-ISJE-N-Bottom-3,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,3,Actinopterygii,Perciformes,Embiotocidae,Rhacochilus,Rhacochilus toxotes,40,3,22,0.366666667,NA,NA,NA,NA,NA,short and / or deep,demersal,unknown,never/rarely,never/rarely,commercial,"Adults usually found in rocky areas, also in kelp and near jetties and pilings (Ref. 2850). From Surf zone to 50 m (Ref. 96339). Often in schools (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205)."
520,2013-ISJE-N-Bottom-3,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,3,Actinopterygii,Perciformes,Gobiidae,Rhinogobiops,Rhinogobiops nicholsii,5,1,22,0.366666667,NA,NA,NA,NA,NA,fusiform / normal,demersal,very high,never/rarely,public aquariums,NA,Found usually in sandy areas near rocks.  Occurs from intertidal areas to 106 m depth.  Retreats to rocks or holes when approached.  Young are found usually offshore among plankton.  Oviparous (Ref. 56079).  A protogynous hermaphrodite (Ref. 34256).  Forms permanent harem groups composed of a single male  and several smaller females (Ref. 55367).  Eggs are guarded by the male (Ref. 56079).
521,2013-ISJE-N-Bottom-3,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,3,Actinopterygii,Perciformes,Gobiidae,Rhinogobiops,Rhinogobiops nicholsii,15,1,22,0.366666667,NA,NA,NA,NA,NA,fusiform / normal,demersal,very high,never/rarely,public aquariums,NA,Found usually in sandy areas near rocks.  Occurs from intertidal areas to 106 m depth.  Retreats to rocks or holes when approached.  Young are found usually offshore among plankton.  Oviparous (Ref. 56079).  A protogynous hermaphrodite (Ref. 34256).  Forms permanent harem groups composed of a single male  and several smaller females (Ref. 55367).  Eggs are guarded by the male (Ref. 56079).
522,2013-ISJE-N-Bottom-3,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,3,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes auriculatus,25,1,22,0.366666667,0.01,3.07,NA,31,56,fusiform / normal,demersal,medium,occasionally,public aquariums,minor commercial,"A sedentary rockfish found in shallow water and bays (Ref. 2850), among sheltering weed-covered rocks or around pilings (Ref. 27436).  Viviparous, with planktonic larvae and pelagic juveniles (Ref. 36715).  Fin spines are sharp and mildly venomous and can cause annoying wounds (Ref. 27436).  Small live specimens make excellent bait for large lingcod (Ref. 27436).  Flesh is firm and tasty, but rarely found in markets (Ref. 26346)."
523,2013-ISJE-N-Bottom-3,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,3,Actinopterygii,Perciformes,Labridae,Semicossyphus,Semicossyphus pulcher,10,2,22,0.366666667,0.0289,3,NA,NA,91,fusiform / normal,reef-associated,very high,never/rarely,commercial,commercial,"Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
523,2013-ISJE-N-Bottom-3,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,3,Actinopterygii,Perciformes,Labridae,Semicossyphus,Semicossyphus pulcher,10,2,22,0.366666667,0.0289,3,3.6,NA,91,fusiform / normal,reef-associated,very high,never/rarely,commercial,commercial,"Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
524,2013-ISJE-N-Bottom-3,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,3,Actinopterygii,Perciformes,Labridae,Semicossyphus,Semicossyphus pulcher,15,1,22,0.366666667,0.0289,3,NA,NA,91,fusiform / normal,reef-associated,very high,never/rarely,commercial,commercial,"Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
524,2013-ISJE-N-Bottom-3,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,3,Actinopterygii,Perciformes,Labridae,Semicossyphus,Semicossyphus pulcher,15,1,22,0.366666667,0.0289,3,3.6,NA,91,fusiform / normal,reef-associated,very high,never/rarely,commercial,commercial,"Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
525,2013-ISJE-N-Bottom-3,2013,29.786619,-115.799029,ISJE,N,Exposed,Bottom,3,Actinopterygii,Perciformes,Labridae,Semicossyphus,Semicossyphus pulcher,40,2,22,0.366666667,0.0289,3,NA,NA,91,fusiform / normal,reef-associated,very high,never/rarely,commercial,commercial,"Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
