"ID","Site","Zone","Habitat","Transect","Class","Order","Family","Genus","GenusSpecies","Length","Abundance","a","b","NT","Lm","Lmax","BodyShape","DemersPelag","PriceCateg","UsedasBait","Aquarium","Importance","Comments"
"BMANM0","BMA","N","M","0","Actinopterygii","Perciformes","Kyphosidae","Medialuna","Medialuna californiensis","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","unknown",NA,NA,NA,"Often occur in rocky areas and in kelp beds.  Found from inshore areas to 40 m depth.  Feed on seaweed and small invertebrates.  Pelagic spawner (Ref. 56049).  Also caught with harpoons.  The flesh is of excellent quality and is marketed fresh (Ref. 9310)."
"BMANM0","BMA","N","M","0","Actinopterygii","Scorpaeniformes","Hexagrammidae","Oxylebius","Oxylebius pictus","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","unknown","never/rarely","never/rarely",NA,"Found in rocky areas, from the intertidal to 49 m (Ref. 2850).  Sleeps on the oral disc, leaving the anemone (<i>Urticina lofotensis</i>) by day but returning every night (Ref. 45560).  Commonly encountered hovering motionless by divers (Ref. 2850).  Feeds on crustaceans, polychaetes, small mollusks and bryozoans (Ref. 4930).  Neither anterolateral glandular grooves nor venom gland is present (Ref. 57406)."
"BMANM0","BMA","N","M","0","Actinopterygii","Perciformes","Serranidae","Paralabrax","Paralabrax clathratus","5",1,0.00273,3.27,3.93,NA,72,"fusiform / normal","benthopelagic","very high",NA,NA,"commercial","Usually found in or near kelp beds, shallow water and to about 50 m but mostly from 2.4-21m .  Found throughout water column.  Large specimens usually occur in deeper water.  Juveniles feed on benthic invertebrates (especially crustaceans); adults feed on fishes and cephalopods (Ref.9342).  Both juveniles and adults may feed on plankton when abundant (Ref.9342).  Pelagic spawners (Ref. 56049).  Also caught with troll lines (Ref. 9342).  Excellent food fish and an important game fish (Ref. 9342)."
"BMANM0","BMA","N","M","0","Actinopterygii","Perciformes","Serranidae","Paralabrax","Paralabrax nebulifer","5",1,0.01988,3,NA,NA,67,"fusiform / normal","reef-associated","very high",NA,NA,NA,"Usually found on sand bottom among or near rocks from shallow areas to about 183 m depth, but usually at less than 30 m.  Juvenile feed on benthic invertebrates (crabs, bivalves and mysids) and rarely fish; adults prey on fishes (especially <i>Porichthys notatus</i>) and also on crustaceans (Ref. 9342).  Pelagic spawners (Ref. 56049).  Important game fish (Ref. 9342)."
"BMANM0","BMA","N","M","0","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","Rhacochilus toxotes","5",1,NA,NA,NA,NA,NA,"short and / or deep","demersal","unknown","never/rarely","never/rarely","commercial","Adults usually found in rocky areas, also in kelp and near jetties and pilings (Ref. 2850). From Surf zone to 50 m (Ref. 96339). Often in schools (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205)."
"BMANM0","BMA","N","M","0","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","Rhacochilus vacca","5",1,0.0195,3.03,NA,NA,52.71820806,"short and / or deep","demersal","unknown","never/rarely","public aquariums","commercial","Adults occur in rocky shores, often around kelp, pilings and underwater structures (Ref. 2850).  Feed on hard-shelled mollusks, crabs and barnacles (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205)."
"BMANM0","BMA","N","M","0","Actinopterygii","Perciformes","Gobiidae","Rhinogobiops","Rhinogobiops nicholsii","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","very high","never/rarely","public aquariums",NA,"Found usually in sandy areas near rocks.  Occurs from intertidal areas to 106 m depth.  Retreats to rocks or holes when approached.  Young are found usually offshore among plankton.  Oviparous (Ref. 56079).  A protogynous hermaphrodite (Ref. 34256).  Forms permanent harem groups composed of a single male  and several smaller females (Ref. 55367).  Eggs are guarded by the male (Ref. 56079)."
"BMANM0","BMA","N","M","0","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes carnatus","5",1,0.0269,3,NA,17,39,"fusiform / normal","demersal","medium","never/rarely","never/rarely",NA,"Inhabit holes or crevices in rocky areas (Ref. 2850).  Territorial (Ref. 2850).  Viviparous, with planktonic larvae (Ref. 36715)."
"BMANM0","BMA","N","M","0","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes caurinus","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","medium","never/rarely","public aquariums","minor commercial","Particularly abundant in shallow, protected bays and inlets, among rocks and kelp beds; also found around pilings and jetties or under floats (Ref. 27436).  Juveniles found in loose aggregations in shallow weedy bays, around wharfs, or among floating drift associated with summer tidelines (Ref. 27436).  Mainly a benthic feeder, may also take pelagic fishes (Ref. 27436).  Viviparous, with planktonic larvae (Ref. 36715).  Flesh is tasty, firm and flaky (Ref. 27436).  Sold mainly as fresh fillets or live in Chinese restaurants and fish markets; excellent for fish chips or for pan frying as fillets (Ref. 27436)."
"BMANM0","BMA","N","M","0","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes dallii","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","medium","never/rarely","never/rarely",NA,"Adults occur on or near soft bottom (Ref. 2850).  Viviparous, with planktonic larvae and pelagic juveniles (Ref. 36715)."
